"Player ID","Pick","Pos","Player","Team","Bid","Fantasy Team","Time (EST)"
"*03al2*",1,"C","Joel Embiid","PHI",55,"Derrick Rossi","Oct 17, 2021 8:03:28"
"*02nf6*",2,"PG","Damian Lillard","POR",60,"Follow Leite","Oct 17, 2021 8:06:21"
"*03e75*",3,"C","Nikola Jokic","DEN",71,"Civezzano Maned Meerkats","Oct 17, 2021 8:08:22"
"*031m2*",4,"PF","Giannis Antetokounmpo","MIL",72,"MISSION #1","Oct 17, 2021 8:10:21"
"*04kj6*",5,"PG","Luka Doncic","DAL",73,"MISSION #1","Oct 17, 2021 8:11:29"
"*04qrl*",6,"C","Wendell Carter","ORL",3,"Masonville Graveyard","Oct 17, 2021 8:12:42"
"*03ajv*",7,"PF","Julius Randle","NY",40,"Borgo Ciodo Hammers","Oct 17, 2021 8:14:09"
"*0011e*",8,"SF","LeBron James","LAL",45,"Follow Leite","Oct 17, 2021 8:15:58"
"*051oh*",9,"PF","Zion Williamson","NO",37,"Follow Leite","Oct 17, 2021 8:17:32"
"*03nwl*",10,"PG","Terry Rozier","CHA",11,"Derrick Rossi","Oct 17, 2021 8:20:01"
"*01eo6*",11,"SG","James Harden","BKN",69,"Civezzano Maned Meerkats","Oct 17, 2021 8:21:49"
"*04qrk*",12,"PG","Trae Young","ATL",45,"Borgo Ciodo Hammers","Oct 17, 2021 8:23:46"
"*03ad3*",13,"C","Karl-Anthony Towns","MIN",63,"Inglewood Lightnings","Oct 17, 2021 8:24:56"
"*01enh*",14,"PG","Stephen Curry","GS",61,"Steel Panthers","Oct 17, 2021 8:40:36"
"*001aw*",15,"SF","Kevin Durant","BKN",61,"Borgo Ciodo Hammers","Oct 17, 2021 8:42:49"
"*027pe*",16,"SF","Jimmy Butler","MIA",36,"Masonville Graveyard","Oct 17, 2021 8:45:08"
"*005kc*",17,"PG","Russell Westbrook","LAL",36,"Borgo Ciodo Hammers","Oct 17, 2021 8:46:57"
"*01uyj*",18,"SF","Paul George","LAC",56,"Masonville Graveyard","Oct 17, 2021 8:49:05"
"*02nf1*",19,"PF","Anthony Davis","LAL",45,"Inglewood Lightnings","Oct 17, 2021 8:50:35"
"*04ewf*",20,"C","Bam Adebayo","MIA",37,"Golden Goffers","Oct 17, 2021 8:52:00"
"*042n7*",21,"PF","Domantas Sabonis","IND",49,"Artists of Life","Oct 17, 2021 8:53:49"
"*02ng3*",22,"SF","Khris Middleton","MIL",22,"Golden Goffers","Oct 17, 2021 8:55:37"
"*027oj*",23,"PG","Kyrie Irving","BKN",6,"MISSION #1","Oct 17, 2021 8:57:14"
"*05qto*",24,"PG","LaMelo Ball","CHA",29,"Golden Goffers","Oct 17, 2021 8:58:45"
"*03nwm*",25,"SG","Devin Booker","PHO",30,"Arbizzano Owls","Oct 17, 2021 9:01:11"
"*03el5*",26,"PF","Kristaps Porzingis","DAL",18,"Golden Goffers","Oct 17, 2021 9:02:36"
"*03nwq*",27,"PF","Christian Wood","HOU",27,"Follow Leite","Oct 17, 2021 9:04:38"
"*03xmv*",28,"SF","Jayson Tatum","BOS",42,"Steel Panthers","Oct 17, 2021 9:06:06"
"*027p0*",29,"C","Nikola Vucevic","CHI",38,"Golden Goffers","Oct 17, 2021 9:07:19"
"*02xg9*",30,"C","Rudy Gobert","UTA",29,"Masonville Graveyard","Oct 17, 2021 9:09:17"
"*04ewe*",31,"SG","Donovan Mitchell","UTA",39,"Inglewood Lightnings","Oct 17, 2021 9:11:43"
"*03lls*",32,"SF","Jaylen Brown","BOS",30,"Artists of Life","Oct 17, 2021 9:13:57"
"*04qrm*",33,"SG","Collin Sexton","CLE",19,"Derrick Rossi","Oct 17, 2021 9:15:33"
"*027p4*",34,"PF","Tobias Harris","PHI",20,"Arbizzano Owls","Oct 17, 2021 9:17:56"
"*04qro*",35,"SG","Shai Gilgeous-Alexander","OKC",25,"LA Samras","Oct 17, 2021 9:19:12"
"*05qug*",36,"SG","Anthony Edwards","MIN",18,"Civezzano Maned Meerkats","Oct 17, 2021 9:21:39"
"*04848*",37,"PG","Fred VanVleet","TOR",24,"LA Samras","Oct 17, 2021 9:23:26"
"*031lx*",38,"SG","CJ McCollum","POR",15,"Masonville Graveyard","Oct 17, 2021 9:25:08"
"*049kb*",39,"PG","De'Aaron Fox","SAC",38,"Artists of Life","Oct 17, 2021 9:26:56"
"*03ams*",40,"SG","Zach LaVine","CHI",39,"Derrick Rossi","Oct 17, 2021 9:28:38"
"*042n1*",41,"SF","Brandon Ingram","NO",27,"LA Samras","Oct 17, 2021 9:30:33"
"*042nw*",42,"PG","Malcolm Brogdon","IND",20,"Derrick Rossi","Oct 17, 2021 9:33:28"
"*04ewk*",43,"PF","John Collins","ATL",20,"Arbizzano Owls","Oct 17, 2021 9:35:16"
"*04qrr*",44,"SF","Michael Porter","DEN",27,"LA Samras","Oct 17, 2021 9:36:53"
"*051oi*",45,"PG","Ja Morant","MEM",29,"Civezzano Maned Meerkats","Oct 17, 2021 9:38:24"
"*02nf3*",46,"SG","Bradley Beal","WAS",49,"Steel Panthers","Oct 17, 2021 9:40:20"
"*03lg1*",47,"PG","Ben Simmons","PHI",19,"Masonville Graveyard","Oct 17, 2021 9:42:19"
"*042nq*",48,"PG","Dejounte Murray","SA",26,"LA Samras","Oct 17, 2021 9:43:42"
"*049kd*",49,"C","Deandre Ayton","PHO",23,"Arbizzano Owls","Oct 17, 2021 9:45:34"
"*027oo*",50,"C","Jonas Valanciunas","NO",14,"MISSION #1","Oct 17, 2021 9:47:14"
"*051oj*",51,"SG","RJ Barrett","NY",9,"Golden Goffers","Oct 17, 2021 9:48:35"
"*03e6s*",52,"C","Clint Capela","ATL",33,"Arbizzano Owls","Oct 17, 2021 9:50:14"
"*03e6n*",53,"C","Jusuf Nurkic","POR",20,"Follow Leite","Oct 17, 2021 9:51:53"
"*01eo9*",54,"PG","Jrue Holiday","MIL",18,"LA Samras","Oct 17, 2021 9:53:53"
"*04fj8*",55,"PF","Chris Boucher","TOR",7,"Golden Goffers","Oct 17, 2021 9:55:54"
"*04ewm*",56,"C","Jarrett Allen","CLE",15,"Steel Panthers","Oct 17, 2021 9:57:38"
"*01eon*",57,"SG","DeMar DeRozan","CHI",24,"Derrick Rossi","Oct 17, 2021 9:59:41"
"*0017e*",58,"PG","Chris Paul","PHO",15,"MISSION #1","Oct 17, 2021 10:01:56"
"*0015b*",59,"PG","Kyle Lowry","MIA",8,"Arbizzano Owls","Oct 17, 2021 10:03:58"
"*04ewn*",60,"SF","OG Anunoby","TOR",11,"Artists of Life","Oct 17, 2021 10:05:24"
"*042nf*",61,"SG","Caris LeVert","IND",12,"Arbizzano Owls","Oct 17, 2021 10:06:28"
"*03ad4*",62,"PG","D'Angelo Russell","MIN",18,"Arbizzano Owls","Oct 17, 2021 10:08:14"
"*03e74*",63,"PG","Spencer Dinwiddie","WAS",24,"Inglewood Lightnings","Oct 17, 2021 10:10:44"
"*01uz7*",64,"SF","Gordon Hayward","CHA",13,"MISSION #1","Oct 17, 2021 10:12:50"
"*04qs4*",65,"C","Robert Williams","BOS",6,"Inglewood Lightnings","Oct 17, 2021 10:14:13"
"*04qrj*",66,"C","Jaren Jackson","MEM",16,"Artists of Life","Oct 17, 2021 10:34:52"
"*02nfz*",67,"PF","Draymond Green","GS",7,"LA Samras","Oct 17, 2021 10:36:31"
"*03ad2*",68,"C","Myles Turner","IND",5,"Arbizzano Owls","Oct 17, 2021 10:38:12"
"*027os*",69,"PG","Kemba Walker","NY",6,"Derrick Rossi","Oct 17, 2021 10:39:26"
"*03r7r*",70,"PF","Richaun Holmes","SAC",9,"Steel Panthers","Oct 17, 2021 10:40:45"
"*049ka*",71,"PG","Lonzo Ball","CHI",6,"Follow Leite","Oct 17, 2021 10:42:25"
"*042nm*",72,"PF","Pascal Siakam","TOR",28,"Arbizzano Owls","Oct 17, 2021 10:43:26"
"*04ewt*",73,"SG","Derrick White","SA",16,"Artists of Life","Oct 17, 2021 10:45:45"
"*05uib*",74,"PG","Cade Cunningham","DET",8,"LA Samras","Oct 17, 2021 10:46:45"
"*051pa*",75,"SG","Kevin Porter","HOU",19,"Masonville Graveyard","Oct 17, 2021 10:48:22"
"*03e6u*",76,"SG","Bogdan Bogdanovic","ATL",1,"MISSION #1","Oct 17, 2021 10:49:43"
"*03aq2*",77,"PF","Jerami Grant","DET",30,"Golden Goffers","Oct 17, 2021 10:50:33"
"*051ol*",78,"PG","Darius Garland","CLE",6,"Steel Panthers","Oct 17, 2021 10:53:14"
"*05qub*",79,"C","Isaiah Stewart","DET",19,"LA Samras","Oct 17, 2021 10:54:25"
"*04qrn*",80,"SF","Mikal Bridges","PHO",2,"Steel Panthers","Oct 17, 2021 10:56:45"
"*04qsb*",81,"PG","Devonte' Graham","NO",6,"Masonville Graveyard","Oct 17, 2021 10:57:37"
"*02ym0*",82,"SF","Andrew Wiggins","GS",12,"Artists of Life","Oct 17, 2021 10:59:01"
"*04qsd*",83,"C","Mitchell Robinson","NY",1,"Masonville Graveyard","Oct 17, 2021 11:00:14"
"*042n3*",84,"SG","Buddy Hield","SAC",10,"Derrick Rossi","Oct 17, 2021 11:00:56"
"*042n6*",85,"C","Jakob Poeltl","SA",7,"Artists of Life","Oct 17, 2021 11:02:38"
"*01sc8*",86,"PG","John Wall","HOU",3,"Borgo Ciodo Hammers","Oct 17, 2021 11:03:28"
"*03byk*",87,"SG","Jordan Clarkson","UTA",6,"Inglewood Lightnings","Oct 17, 2021 11:04:38"
"*04azw*",88,"PF","Lauri Markkanen","CLE",3,"MISSION #1","Oct 17, 2021 11:05:28"
"*031m9*",89,"C","Mason Plumlee","CHA",1,"Inglewood Lightnings","Oct 17, 2021 11:06:24"
"*051os*",90,"PF","P.J. Washington","CHA",1,"Derrick Rossi","Oct 17, 2021 11:07:03"
"*05uid*",91,"C","Evan Mobley","CLE",4,"Borgo Ciodo Hammers","Oct 17, 2021 11:08:01"
"*05qtv*",92,"PG","Tyrese Haliburton","SAC",7,"Steel Panthers","Oct 17, 2021 11:08:58"
"*0015e*",93,"PG","Mike Conley","UTA",4,"LA Samras","Oct 17, 2021 11:10:09"
"*051p9*",94,"SF","Keldon Johnson","SA",14,"Masonville Graveyard","Oct 17, 2021 11:11:07"
"*051ox*",95,"SG","Nickeil Alexander-Walker","NO",5,"Civezzano Maned Meerkats","Oct 17, 2021 11:13:04"
"*05uif*",96,"SG","Jalen Suggs","ORL",4,"Golden Goffers","Oct 17, 2021 11:14:09"
"*05uic*",97,"SG","Jalen Green","HOU",16,"Artists of Life","Oct 17, 2021 11:15:02"
"*042n4*",98,"PG","Jamal Murray","DEN",15,"LA Samras","Oct 17, 2021 11:16:05"
"*03byg*",99,"C","Montrezl Harrell","WAS",6,"Derrick Rossi","Oct 17, 2021 11:17:10"
"*0018r*",100,"PF","Thaddeus Young","SA",1,"MISSION #1","Oct 17, 2021 11:18:06"
"*03r7z*",101,"SG","Norman Powell","POR",5,"Inglewood Lightnings","Oct 17, 2021 11:18:47"
"*051ok*",102,"SF","De'Andre Hunter","ATL",9,"Derrick Rossi","Oct 17, 2021 11:19:47"
"*02nf7*",103,"SF","Harrison Barnes","SAC",3,"Inglewood Lightnings","Oct 17, 2021 11:20:37"
"*01uyx*",104,"PG","Eric Bledsoe","LAC",3,"Arbizzano Owls","Oct 17, 2021 11:21:16"
"*05qsl*",105,"PF","Patrick Williams","CHI",1,"Civezzano Maned Meerkats","Oct 17, 2021 11:21:59"
"*04ewb*",106,"PF","Jonathan Isaac","ORL",2,"Masonville Graveyard","Oct 17, 2021 11:22:45"
"*051ot*",107,"SG","Tyler Herro","MIA",3,"Steel Panthers","Oct 17, 2021 11:23:25"
"*031mb*",108,"SG","Tim Hardaway","DAL",1,"Artists of Life","Oct 17, 2021 11:24:04"
"*031lz*",109,"C","Steven Adams","MEM",1,"Borgo Ciodo Hammers","Oct 17, 2021 11:24:53"
"*05qve*",110,"SF","Jae'Sean Tate","HOU",1,"Golden Goffers","Oct 17, 2021 11:25:33"
"*051ps*",111,"SG","Terance Mann","LAC",2,"Civezzano Maned Meerkats","Oct 17, 2021 11:26:13"
"*027p9*",112,"PG","Reggie Jackson","LAC",7,"Inglewood Lightnings","Oct 17, 2021 11:27:01"
"*04ewr*",113,"PF","Kyle Kuzma","WAS",4,"Steel Panthers","Oct 17, 2021 11:28:01"
"*03r7l*",114,"PF","Larry Nance","POR",1,"Civezzano Maned Meerkats","Oct 17, 2021 11:29:07"
"*042ne*",115,"SG","Malik Beasley","MIN",1,"Follow Leite","Oct 17, 2021 11:29:54"
"*049ki*",116,"PF","Marvin Bagley","SAC",4,"Artists of Life","Oct 17, 2021 11:30:42"
"*05uiu*",117,"SF","Jalen Johnson","ATL",1,"Borgo Ciodo Hammers","Oct 17, 2021 11:31:54"
"*051p3*",118,"PF","Darius Bazley","OKC",5,"Golden Goffers","Oct 17, 2021 11:32:29"
"*03al0*",119,"PF","Aaron Gordon","DEN",1,"MISSION #1","Oct 17, 2021 11:33:00"
"*05qt0*",120,"SF","Saddiq Bey","DET",2,"Civezzano Maned Meerkats","Oct 17, 2021 11:33:28"
"*051pi*",121,"PF","Daniel Gafford","WAS",2,"Steel Panthers","Oct 17, 2021 11:34:06"
"*02nf9*",122,"C","Andre Drummond","PHI",1,"Civezzano Maned Meerkats","Oct 17, 2021 11:34:37"
"*031m4*",123,"PG","Dennis Schroder","BOS",2,"Borgo Ciodo Hammers","Oct 17, 2021 11:35:23"
"*031lp*",124,"SG","Victor Oladipo","MIA",1,"Borgo Ciodo Hammers","Oct 17, 2021 11:36:05"
"*05uig*",125,"SG","Josh Giddey","OKC",1,"MISSION #1","Oct 17, 2021 11:36:36"
"*051op*",126,"PF","Rui Hachimura","WAS",1,"Inglewood Lightnings","Oct 17, 2021 11:37:09"
"*051p8*",127,"SG","Jordan Poole","GS",1,"Civezzano Maned Meerkats","Oct 17, 2021 11:37:37"
"*02ng4*",128,"SG","Will Barton","DEN",1,"Follow Leite","Oct 17, 2021 11:38:09"
"*027ou*",129,"SG","Klay Thompson","GS",6,"Borgo Ciodo Hammers","Oct 17, 2021 11:38:42"
"*03al1*",130,"PG","Marcus Smart","BOS",1,"Follow Leite","Oct 17, 2021 11:39:12"
"*03e6z*",131,"SG","Joe Harris","BKN",1,"Follow Leite","Oct 17, 2021 11:39:44"
"*05uie*",132,"SF","Scottie Barnes","TOR",1,"Follow Leite","Oct 17, 2021 11:40:09"